Brand Name	Mfg Code	Warranty Description	Warranty URL	Warranty Tel#	Warranty Months	Months for Parts	Comments
AccuTrans	ULTR	AccuTrans	https://www.accutransusa.com	8002626262			Warranty Not Applicable
Acebil	32	Acebil	http://acebil.com	3102578886			Warranty Not Available on MFR
Acer	A4	Acer	https://www.acer.com/us-en/support/warranty/limited-warranty	8666952237			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Acetek	ACTK	Acetek	http://www.acetek-usa.com/index.html	3102578886	12.0	12.0	As per Adorama
Acon Digital	ACON	Acon Digital	https://acondigital.com				Warranty Not Applicable
Acoustica	ACOU	Acoustica	https://acoustica.com				Warranty Not Applicable
Acratech	AF	Acratech	https://www.acratech.net	9093927522	120.0	120.0	
ACTi	ACTI	ACTi	https://www2.acti.com/support/warranty/Warranty_Policy.asp	8664102284			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Active Thermal Management	ATM	Active Thermal Management	http://activethermal.com/FAQs.html	6612947999	60.0	60.0	
Activision	ACTV	Activision	https://www.activision.com	3102552000	3.0	3.0	
Acufine	CH						Warranty Not Applicable
Acumen Robot Intelligence	ARINTL						Not in Adorama Brand List
Adafruit	RG						Not in Adorama Brand List
Adam Audio	ADAM	Adam Audio	https://www.adam-audio.com/en/warranty-terms	6159836213			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
ADATA	ADATA	ADATA	https://www.adata.com/en/support/warranty		99.0	99.0	
Adesso	OI	Adesso	https://us.adesso.com	8007956788	12.0	12.0	
ADJ	RG	Non ADJ L.E.D. Light	https://www.adj.com/warranty-information	3235822650			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Adobe	AB	Adobe	https://www.adobe.com				Warranty Not Applicable
Adorama	GX	Adorama	https://www.adorama.com	8008150702	12.0	12.0	
Adorama Protect	EXTEND						Not in Adorama Brand List
Adox	ADOX						Warranty Not Applicable
Advantage Gripware	AD	Advantage Gripware	http://w.advantagegrip.com	3348634488	1.0	1.0	
Aee	AEE						Not in Adorama Brand List
AER	AER	AER	https://www.aer-music.de/downloads		24.0	24.0	
Aerial Thermal Imaging Llc	RG						Not in Adorama Brand List
AeroCool	AEROCOOL	AeroCool	https://aerocool.io/warranty-policies		12.0	12.0	As per Adorama
Aeropoints	AEROPOINTS	Aeropoints	https://www.propelleraero.com		12.0	12.0	https://help.propelleraero.com/hc/en-us/articles/19384165009943-AeroPoints-Warranty#:~:text=(%E2%80%9CPropeller%E2%80%9D)%20warrants%20an,from%20the%20date%20of%20activation.
AeroVironment	AEROV						Not in Adorama Brand List
Agfa Photo	AGFA	Agfa Photo	https://www.support.agfaphoto-gtc.com/en/aide-sav		24.0	24.0	
AIAIAI	AIA	AIAIAI	https://aiaiai.audio/warranty		24.0	24.0	
AIDA	AIDA	AIDA	https://aidaimaging.com/warranty	9093337421	24.0	24.0	
AIM Sports	AIMSP	AIM Sports	https://www.aimsportsinc.com/warranty-returns	9099232228	99.0	99.0	
AiPower	AIPOWER	AiPower	https://support.myaipower.com		12.0	12.0	
Air Science	AIRSC	Air Science	https://www.airscience.com/warranty	2394890024			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Airbooth	RG						Not in Adorama Brand List
Airbox	AIRBX						Warranty Not Available on MFR
Airfree	AIRFR	Airfree	https://www.airfree.com/en-us	6269214426	24.0	24.0	
AirMedia	RG						Not in Adorama Brand List
Airo by K-Tek	AIRO	Airo by K-Tek	https://ktekpro.com/support/warranty-registration	7607270593	12.0	12.0	
AirSelfie	AIRSELFIE	AirSelfie	https://airselfiecamera.com		12.0	12.0	
Airwave Technologies	AIRWAVE	Airwave Technologies	https://www.airwavetechnologies.com	3058917399	12.0	12.0	https://www.airwavetechnologies.com/pages/warranty-information
AirWise Solutions	AIRWISE						Not in Adorama Brand List
AJA	XS	AJA	https://www.aja.com	5302742048			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Akai	AKAI	Akai	https://www.akaipro.com		12.0	12.0	
AKASO	AKS		https://shopakaso.com/pages/return-policy				Not in Adorama Brand List
AKG	AK	AKG	https://www.akg.com/support-warranty.html	8884524254			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Aladdin	ALAD	Aladdin	https://aladdin-lights.com		12.0	12.0	
Alan Gordon Enterprises	GK	Alan Gordon Enterprises	https://www.alangordon.com/warranty	3234663561	12.0	12.0	
Alcidae	ALCIDAE	Alcidae	https://www.alcidae.com	4159363628	12.0	12.0	
Alctron	ALCTR		https://www.alctron-audio.com				Warranty Not Available on MFR
Alera	ALER	Alera Furniture Products	https://www.aleradetails.com		60.0	60.0	
	ALER	Alera Fabric Vinyl / Leather	https://www.aleradetails.com		24.0	24.0	
	ALER	Alera Electrical Components	https://www.aleradetails.com		24.0	24.0	
Aleratec	16						Mfr Not Found
Alesis	ALESIS	Alesis	https://www.alesis.com		12.0	12.0	As per Adorama
Alfatron	ALFATRON	Alfatron	https://www.alfatronelectronics.com	8185397789	84.0	84.0	
Algo	RG						Not in Adorama Brand List
Alhambra Guitars	ALHAMB	Alhambra Guitars	https://www.alhambraguitarras.com/en/guitarguarantee		36.0	36.0	
Alibi	ALIBI	Alibi	https://www.alibisecurity.com/warranty-returns	8888581442	36.0	36.0	
All Brand	RG						Warranty Not Applicable
Allen & Heath	ALLEN	Allen & Heath	https://www.allen-heath.com		12.0	12.0	
Allsop	A8	Allsop	https://allsop.com/pages/warranty-information	8004264303	3.0	3.0	
Alogic	ALOGIC	Alogic	https://alogic.co		24.0	24.0	
Alpen	AO	Alpen	https://www.alpenoptics.com/pages/warranty				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Alphatron BroadcastElectronics	ALP	Alphatron BroadcastElectronics	https://www.aspectra.nl/brands-products/alphatron-pedestal		12.0	12.0	
Alpine Hearing Protection	AHP						Not in Adorama Brand List
Alter	ALTR						Mfr Not Found
Altman	ALTMN	Altman	https://www.altmanlighting.com/disclaimer	3035007072			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Alto Professional	ALTO	Alto Professional	https://www.altoprofessional.com		12.0	12.0	
Aluratek	RG						Not in Adorama Brand List
Alva	ALVA		https://www.alva-audio.de				Warranty Not Available on MFR
Alvarez	ALVAR	Guitars	https://alvarezguitars.com/alvarez-warranty	8316480508	99.0	99.0	
	ALVAR	Accessories	https://alvarezguitars.com/alvarez-warranty	8316480508	24.0	24.0	
Alzo Digital	AH	Alzo Digital	https://www.alzodigital.com/pages/alzo-extended-warranty	8005827009			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Amaran	APUT	Amaran	https://amarancreators.com		12.0	12.0	
AmazFit	AMZFT	AmazFit	https://us.amazfit.com/pages/warranty-policy	8888262934	12.0	12.0	
Amazon	AMZN	Amazon	https://www.amazon.com	8882804331	12.0	12.0	https://www.amazon.com/gp/help/customer/display.html?nodeId=201014520
Ambient Recording	AMBREC	Ambient Recording	https://ambient.de/en/general-terms-and-conditions		12.0	12.0	
Ambir	AMBIR	Ambir	https://ambir.com/warranty-information	6305305400			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Amcrest	AMCR	Amcrest	https://amcrest.com/return-policy	8882127538	12.0	12.0	
AMD	AMD	AMD	https://www.amd.com/en/support/kb/warranty-information	8662842093	36.0	36.0	
Ameenji	RG						Not in Adorama Brand List
American DJ	ADJ	American DJ	https://www.adj.com/warranty-information	8003226337			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
American Dynamics	RG						Not in Adorama Brand List
American Grip	AMGRP	American Grip	https://americangrip.com/terms-conditions	8187688922	24.0	24.0	
American Paper Optics	APO		https://www.3dglassesonline.com	8007678427			Warranty Not Applicable
American Power Conversion(APC)	APC	American Power Conversion(APC)	https://www.apc.com/us/en	8008004272			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Ampeg	AMPG	Ampeg	https://ampeg.com/support/warranty	8185753600			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Ampere	AMPR	Ampere	https://ampere.shop/pages/warranty-returns-and-refunds	8555680332	12.0	12.0	
AmpliVox	AM	AmpliVox	https://www.ampli.com/warranty	8474989000			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
AMX	AMX	AMX	https://www.amx.com/warranty	8002088880			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Anchor Audio	AC	Anchor Audio	https://knowledgebase.anchoraudio.com/product-warranty	8002624671			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Andover Audio	AND	Andover Audio	https://www.andoveraudio.com		24.0	24.0	
AndyCine	ANDYCINE	AndyCine	https://www.andycine.com		12.0	12.0	https://www.andycine.com/pages/Warranty-and-Return-11462635.html
A-Neutronics	RG						Not in Adorama Brand List
A-NeuVideo	ANEUVD	A-NeuVideo	https://www.a-neuvideo.com	4692777606	36.0	36.0	
Angelbird	ANGLBRD	Angelbird	https://www.angelbird.com/warranty-activation		36.0	36.0	
Angenieux	ANGNUX	Angenieux	https://www.angenieux.com/service-and-support		12.0	12.0	As per Adorama
Angler	RG	Angler	https://www.anglerlights.com/warranty	2125942120	12.0	12.0	
Animals Pedals	ANMLS	Animals Pedals	https://animalspedal.us		12.0	12.0	As per Adorama
Anker	ANKER	Anker	https://www.anker.com/policies/refund-policy	8009887973			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Anki	ANKI						Not in Adorama Brand List
Antec	AG	Antec	https://www.antec.com/warranty.php				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Antelope Audio	ANTLP	Antelope Audio	https://en.antelopeaudio.com	9162381643	12.0	12.0	https://support.antelopeaudio.com/en/support/solutions/articles/42000026324-antelope-audio-limited-warranty-policy
Anton Bauer	A1	Anton Bauer	https://www.antonbauer.com/en/product-support/warranty				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Anywhere Cart	ANYCRT	Anywhere Cart	https://anywherecartparts.com/warranty-return-policy	8886504488	99.0	99.0	https://anywherecartparts.com/wp-content/uploads/2021/11/AC_standard_warranty.pdf
AOC	27	AOC	https://aoc.com/us/warranty	8888386388	36.0	36.0	
	27	LED Panel	https://aoc.com/us/warranty	8888386388	12.0	12.0	
aoni	GX	aoni			12.0	12.0	As per Adorama
Apantac	APAN	Apantac	https://www.apantac.com	5039683000			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
APC	APC	APC	https://www.apc.com/us/en	8008004272			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Ape Case	AP	Ape Case	https://apecase.com/warranty	7167061160	60.0	60.0	
Ape Labs	APELABS	Ape Labs	https://www.apelabsusa.com/policies		36.0	36.0	
Apeman	APEMAN	Apeman	https://apemans.com/pages/contact-us		12.0	12.0	
Apex	APEX	Apex	https://apexelectronics.com/about-us-3	7162972920	12.0	12.0	
Apex Gear	APXG	Apex Gear	https://apex-gear.com/warranty-returns	8772698490	12.0	12.0	
Aphex	APHX	Aphex	https://aphex.com/support	5623647400			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Apogee Electronics	APOGEE	Apogee Electronics	https://apogeedigital.com/company/product-warranty-and-rma		12.0	12.0	
Apotop	APOTOP	Apotop			12.0	12.0	As per Adorama
Apple	A3	Apple	https://www.apple.com	8006927753	12.0	12.0	
Apricorn	APRI	Apricorn	https://apricorn.com/product-warranty-policy	8004585448	36.0	36.0	
Aputure	APUT	Aputure	https://www.aputure.com/register		12.0	12.0	
APzek	RG						Not in Adorama Brand List
Aqara	AQARA	Aqara	https://www.aqara.com/en/support/user-manual		12.0	12.0	
Aquapac	AQP	Aquapac	https://aquapac.net/warranty	6315221379	60.0	60.0	
AquaTech	AQ	AquaTech	https://aquatech.net/pages/warranty	7149686946	12.0	12.0	
ARC Repair	ARC						Not in Adorama Brand List
Arca Swiss	AW	Non-Electronic Products	https://arca-swiss-usa.com/pages/warranty	4807553364	36.0	36.0	
Arcade1Up	ARCD1	Arcade1Up	https://arcade1up.com/pages/warranty-information		3.0	3.0	
Archival Methods	8M						Warranty Not Applicable
Archivalware	L0						Warranty Not Applicable
Arco	RG	Arco	https://www.arcobags.com/warranty	2125942120	12.0	12.0	
Arecont Vision	ARCNT	Arecont Vision	https://www.arecontvision.com/global-limited-warranty	8189370700	36.0	36.0	
Arenti	ARENTI	Arenti	https://arenti.com/pages/warranty-policy		24.0	24.0	
Aries	RLCS	Aries		8008150702	12.0	12.0	Adorama Private Brand
Arista	ARISTA						Mfr Not Found
Arkay	AY	Arkay			12.0	12.0	As per Adorama
Arlo	ARLO						Not in Adorama Brand List
Arqspin	ARQ						Not in Adorama Brand List
ARRI	AR	ARRI	https://www.arri.com/en	8453531400			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Arriflex	RG						Not in Adorama Brand List
Arrowhead Forensics	ARROWH						Not in Adorama Brand List
ars-imago	ARSIM	ars-imago	https://www.ars-imago.com/en		24.0	24.0	
Art & Lutherie	ARTLU	Art & Lutherie	https://artandlutherieguitars.com		12.0	12.0	
Art Pro Audio	ARTPA	All ART and ARTcessories	https://www.artproaudio.com/support/warranty-information	7162972920	36.0	36.0	
	ARTPA	M Series microphones	https://www.artproaudio.com/support/warranty-information	7162972920	24.0	24.0	
Art To Frames	ATF						Warranty Not Applicable
Artel	RG	ARQ IP Streaming Systems	https://www.artel.com/support/warranty	9782635775			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Artesia	ARTES	Pianos	https://artesia-pro.com	8889989848	12.0	12.0	
Arturia	ARTU	Arturia	https://www.arturia.com/warrantypolicy		24.0	24.0	
Aruba	ARUB	Aruba	https://www.arubanetworks.com	8009434526			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Ashdown	ASHD	Ashdown	https://ashdownmusic.com/pages/warranty	9093421201	60.0	60.0	
Ashly	ASH	Ashly	https://ashly.com/warranty-information	8008286308			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
ASI Audio	ASIAD						Not in Adorama Brand List
Astatic	ASTATIC						Not in Adorama Brand List
Astera	ASTER	Astera	https://astera-led.com/downloads	9545788881			Warranty Not Availabe on MFR
Aston	ASTN	Aston Element	https://www.astonmics.com/EN/legal				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
AstonPower	ASPWR						Mfr Not Found
Astro Gaming	LO	Astro Gaming	https://www.astrogaming.com/en-us/support/warranty.html	8666325644	12.0	12.0	
ASUS	AS	ASUS	https://www.asus.com				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
ASUSTOR	ASUSTR	ASUSTOR	https://www.asustor.com/en/service/warranty				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
AT&T	2A	AT&T	https://www.att.com/support/device-protection-warranty	8002882020	12.0	12.0	
Aten	ATEN	Aten	https://www.aten.com	8889992836			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Athlon Optics	ATHOP	Athlon Optics	https://athlonoptics.com/lifetime-warranty-2	8559135678	99.0	99.0	
Atlas Camera Support	ATLAS						Mfr Not Found
Atlas Lens Company	ATLAS	Atlas Lens Company	https://atlaslensco.com/		12.0	12.0	
Atlas Sound	ATLSND	Atlas Sound	https://www.atlasied.com/support	8008763333			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Atlite	RG						Not in Adorama Brand List
Atlona Technologies	RG	Atlona Technologies	https://atlona.com/warranty	4089620515			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Atmosphere Aerosol	ATMSA						Warranty Not Applicable
ATN	ATN	ATN	https://www.atncorp.com	6509895100	12.0	12.0	
Atomos	ATOMOS	Atomos	https://www.atomos.com		12.0	12.0	
ATS	RG						Not in Adorama Brand List
Ats-Pro	ATSPRO						Not in Adorama Brand List
ATTO Technology	ATTO	ATTO Technology	https://www.atto.com/support/warranty-information	7166911999			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
AUDEZE	AUDEZE	AUDEZE	https://www.audeze.com				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Audient	RG	Audient	https://audient.com		36.0	36.0	
Audinate	AUDI	Audinate	https://www.audinate.com/support/dante-avio/warranty		12.0	12.0	
Audio 2000s	AU2000	Audio 2000s	http://www.audio2000s.com	8055232759	12.0	12.0	
Audio Implements	AUDIMP	Audio Implements	https://audioimplements.com	2625242424	12.0	12.0	As per Adorama
Audio Ltd.	AULTD						Mfr Not Found
Audio System Cable and Connect	RG						Not in Adorama Brand List
Audionamix	AUDNM						Warranty Not Applicable
AudioSource	PAG		https://www.audiosource.com				Warranty Not Available on MFR
Audio-Technica	ATP	Audio-Technica	https://www.audio-technica.com/en-us	8003765318			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Audix	AUDX	VLM Dynamic Microphones	https://audixusa.com/audix-warranty-service-information	8009668261	60.0	60.0	
Aura Smart Air	ASA	Aura Smart Air	https://aurasmartair.co.nz/terms		12.0	12.0	
Auralex	AURALEX	Auralex	https://auralex.com	8009593343	3.0	3.0	
Auray	RG	Auray	https://www.aurayaudio.com/warranty	2125942120	12.0	12.0	
Auris	AURIS	Auris	https://www.aurisaudio.rs	8605675801	24.0	24.0	
Auris Audio	ARAUD	Auris Audio	https://drive.google.com	8605675801	24.0	24.0	
Aurora Multimedia	AURMM	Aurora Multimedia	https://auroramultimedia.com/about-us	7325915800			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Ausounds	AUSOUNDS	Ausounds	https://ausounds.com/pages/warranty		12.0	12.0	
Austin	AUSTIN						Mfr Not Found
Austrian Audio	AAUDIO	Austrian Audio	https://austrian.audio		24.0	24.0	
Autel Robotics	AUTEL	Autel Robotics	https://shop.autelrobotics.com/pages/warranty	8446928835			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Autocue	AUTOQ	Autocue	https://www.autocue.com/support/warranty		24.0	24.0	
Autoscript	ATSCRPT		https://www.autoscript.tv/support/warranty-support	2039291100			Warranty not Available on MFR
AV Toolbox	AVTL						Mfr Not Found
Avanquest	AVANQ						Warranty Not Applicable
Avantone Pro	AVNTP	Avantone Pro	https://avantonepro.com				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Avaya	AVAYA	Avaya	https://www.avaya.com	9089536000	12.0	12.0	https://support.avaya.com/css/public/documents/100125173#:~:text=a)%20Twelve%20(12)%20months,does%20not%20install%20the%20Hardware.
	AVAYA	Software and Software Media	https://www.avaya.com	9089536000	3.0	3.0	
Avenger	AE						Mfr Not Found
Aver	AVER	Aver	https://www.averusa.com	8775287824			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Avermedia	AVER	Avermedia	https://www.avermedia.com/support/services				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Avervision	RG						Not in Adorama Brand List
Avery Dennison	AA						Not in Adorama Brand List
Avid	AVID	Hardware	https://www.avid.com/legal/avid-product-warranty-documents		12.0	12.0	
	AVID	Accessories	https://www.avid.com/legal/avid-product-warranty-documents		3.0	3.0	
	AVID	Software	https://www.avid.com/legal/avid-product-warranty-documents		3.0	3.0	
Avid Education	AVDEDU						Not in Adorama Brand List
Avinair	AVIN						Mfr Not Found
Aviom	AVI	Aviom	https://www.aviom.com/AviomInfo/Privacy-Policy.php	6107389005			Warranty Not Available on MFR
AViPAS	AVPS	AViPAS	https://www.avipas.com/warranty-policy	8442284727	24.0	24.0	
AVMatrix	LL	AVMatrix	https://www.avmatrixusa.com				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Avocent	RG						Not in Adorama Brand List
AVPro Edge	AVPRED	AVPro Edge	https://avproedge.com/pages/warranty		120.0	120.0	
AVSS	AVSS	AVSS	https://www.avss.co	8448520665	12.0	12.0	
AVtec	AVTEC						Mfr Not Found
Axis	RG						Not in Adorama Brand List
Axis Communications	AXIS	Axis Communications	https://www.axis.com/support/warranty	9786142000			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Axler	RG	Axler	https://www.axlersupports.com/warranty	2125942120	12.0	12.0	
AXM	AXM	AXM	https://www.axiom-pro.com		12.0	12.0	As per Adorama
Axxon	AXXON	Axxon	https://axxon.io	8003611913	60.0	60.0	
Azden	AZ	Azden	https://www.azden.com/warranty	8002474501			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Aztek	RG						Not in Adorama Brand List
Azulle	AZUL	Azulle	https://azulle.com/warranty-returns	7862336769	12.0	12.0	
Baader Planetarium	BAADER	Baader Planetarium	https://www.baader-planetarium.com/en/terms-and-conditions		24.0	24.0	
Back-Bone	BBN	Mode Kit	https://www.back-bone.ca/support/kit-warranty		6.0	6.0	
	BBN	Modified Camera	https://www.back-bone.ca/support/camera-warranty		6.0	6.0	
Backstage	BKSTG	Backstage	https://backstageweb.com/warranty	8185046026	99.0	99.0	
Bankers Box	FW						Warranty Not Applicable
Barska	BR	Barska	https://www.barska.com/warranty-information	9094458168			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
bebob	BEBOB	bebob	https://bebob.de/en/garantie		24.0	24.0	
Behringer	BEHRINGER	Behringer		8008150702	12.0	12.0	
Belden	BLDN	Belden	https://www.belden.com				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Belkin	B1	Belkin	https://www.belkin.com/legal/warranty-center	8002235546			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Bell & Howell	B0		https://www.bellhowellcameras.com/warranty-registration				Warranty only when Product Registered
BenQ	BQ	BenQ	https://www.benq.com/en-us/support/shopping-faq.html	8666002367	36.0	36.0	
Benro	2B	Benro	https://benrousa.com/warranty-registration	9143473374			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Berkey System	BERK	Berkey System	https://www.berkeysystem.com	9522704795	99.0	99.0	
Berlin Gear	BERLIN	Berlin Gear			12.0	12.0	As per Adorama
Beschoi	BESCHOI	Beschoi			12.0	12.0	As per Adorama
Beseler	BE	Beseler	https://www.beselerphoto.com	8002373537			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Bayit	BAYIT						Not in Adorama Brand List
Bessey	BESSY	Bessey	https://www.bessey.de/en-us/bessey-tools-north-america	8008281004			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Best Service	BESTS						Warranty Not Applicable
Beyerdynamic	BEYERD	Beyerdynamic	https://north-america.beyerdynamic.com	6312933200	24.0	24.0	
B-Grip	CZ		https://b-grip.com				Warranty Not Available on MFR
Bianchi	BIANCHI	Bianchi	https://bianchileather.com/pages/warranty	8003471200	24.0	24.0	
BirdDog	BRDOG	BirdDog	https://birddog.tv				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
B & D	BM						Warranty Not Applicable
B + W	BW	B + W	https://bw-filtershop.de		12.0	12.0	Standard Warranty Kept
Backdrop Alley	RG						Not in Adorama Brand List
Balt	RG						Not in Adorama Brand List
Bandai	BANDAI						Not in Adorama Brand List
Barber Shop	BARBERS	Barber Shop			24.0	24.0	As per Adorama
Barbizon	ARC		https://barbizon.com				Warranty Not Available on MFR
Barn Door Light Co	RG						Not in Adorama Brand List
Barricks	BARR						Not in Adorama Brand List
BAUSCH & LOMB	RG						Mfr Not Found
Bayco	RG						Not in Adorama Brand List
BeachTek	Z3	BeachTek	https://beachtek.com/support	7784789872	24.0	24.0	
	Z3	Batteries	https://beachtek.com/support	7784789872	6.0	6.0	
Beastgrip	RG						Not in Adorama Brand List
Beats by Dr. Dre	BEATS	Beats by Dr. Dre	https://www.beatsbydre.com		12.0	12.0	
Bebob Engineering	ZO	Bebob Engineering	https://prod.bebob.de/content/en/warranty				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
BEC Group	B9						Mfr Not Found
Beeway	RG						Not in Adorama Brand List
Behringer Eurocom	EURCM	Behringer Eurocom	https://www.behringer.com/service.html?service=Support		12.0	12.0	
Belle Drape	HAKT	Belle Drape	https://www.adorama.com	8008150702	12.0	12.0	Adorama Private Brand
BeON Home	BEON						Not in Adorama Brand List
Berg	CH						Not in Adorama Brand List
Bescor	BO	Bescor	https://www.bescor.com/shipping-returns	6314201717	3.0	3.0	
Bespeco	BSPC		https://bespeco.it				Warranty Not Available on MFR
BESTEK	RG						Not in Adorama Brand List
Beta Shell	H6						Warranty Not Applicable
Bethesda Softworks	BSW						Warranty Not Applicable
Better Beamer	FA						Mfr Not Found
BitDefender	BITDEFEND						Not in Adorama Brand List
bitplay	BITPL	bitplay	https://global.bitplayinc.com/pages/returns-warranty		12.0	12.0	
Bittree	RG	Patchbays	https://www.bittree.com/pages/warranty-information	8185008142	60.0	60.0	
Black Box	RG	Black Box	https://www.blackbox.com/en-us	8778772269			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Black Label Bag	BLB						Mfr Not Found
Blackberry	RG						Not in Adorama Brand List
BlackRapid	4B	BlackRapid	https://www.blackrapid.com/policies-and-warranties	8775482440	12.0	12.0	
	4B	Camera Straps	https://www.blackrapid.com/policies-and-warranties	8775482440	6.0	6.0	
	4B	Bags	https://www.blackrapid.com/policies-and-warranties	8775482440	6.0	6.0	
	4B	Accessories	https://www.blackrapid.com/policies-and-warranties	8775482440	6.0	6.0	
Blackstar	BLSA	Blackstar	https://blackstaramps.com				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
BlackVue	BLKVU	BlackVue	https://blackvue.com/warranty-terms-conditions	8446944469	12.0	12.0	
	BLKVU	SD Card	https://blackvue.com/warranty-terms-conditions	8446944469	6.0	6.0	
